CellID,display_class,feature,value
PC1_cellid_000152982-1,Supported Duct2-Fibroblast,Cell area,103.899440559099
PC1_cellid_000152996-1,Duct2 singlet,Cell area,155.916747878379
PC1_cellid_000153035-1,Duct2 singlet,Cell area,84.054313034334
PC1_cellid_000153040-1,Fibroblast singlet,Cell area,87.9354192211243
PC1_cellid_000153092-1,Duct2 singlet,Cell area,55.9542055776439
PC1_cellid_000153102-1,Duct2 singlet,Cell area,115.871894897428
PC1_cellid_000153104-1,Supported Duct2-Fibroblast,Cell area,131.890959420116
PC1_cellid_000153132-1,Duct2 singlet,Cell area,68.0367462853851
PC1_cellid_000153150-1,Fibroblast singlet,Cell area,88.0181712199048
PC1_cellid_000153170-1,Supported Duct2-Fibroblast,Cell area,176.063302367008
PC1_cellid_000153180-1,Fibroblast singlet,Cell area,63.991259431335
PC1_cellid_000153186-1,Fibroblast singlet,Cell area,107.862549857813
PC1_cellid_000153218-1,Fibroblast singlet,Cell area,80.091203735618
PC1_cellid_000153220-1,Fibroblast singlet,Cell area,92.1183268152279
PC1_cellid_000153227-1,Fibroblast singlet,Cell area,59.9723580610572
PC1_cellid_000153239-1,Supported Duct2-Fibroblast,Cell area,111.880702341219
PC1_cellid_000153244-1,Duct2 singlet,Cell area,160.154324213742
PC1_cellid_000153247-1,Duct2 singlet,Cell area,88.0174223330439
PC1_cellid_000153260-1,Duct2 singlet,Cell area,100.017959928869
PC1_cellid_000153277-1,Duct2 singlet,Cell area,68.0363718419531
PC1_cellid_000153284-1,Duct2 singlet,Cell area,244.045005467691
PC1_cellid_000153307-1,Supported Duct2-Fibroblast,Cell area,159.990692433369
PC1_cellid_000153322-1,Supported Duct2-Fibroblast,Cell area,95.9178043335461
PC1_cellid_000153324-1,Fibroblast singlet,Cell area,147.962446023461
PC1_cellid_000153331-1,Duct2 singlet,Cell area,200.145631783711
PC1_cellid_000153332-1,Fibroblast singlet,Cell area,56.0088743189212
PC1_cellid_000153348-1,Duct2 singlet,Cell area,128.036064273644
PC1_cellid_000153359-1,Fibroblast singlet,Cell area,67.8993255453428
PC1_cellid_000153364-1,Duct2 singlet,Cell area,128.036064273647
PC1_cellid_000153366-1,Duct2 singlet,Cell area,83.9723099224188
PC1_cellid_000153371-1,Fibroblast singlet,Cell area,67.9270343594036
PC1_cellid_000153405-1,Supported Duct2-Fibroblast,Cell area,127.981021088941
PC1_cellid_000153436-1,Fibroblast singlet,Cell area,107.889884228443
PC1_cellid_000153444-1,Duct2 singlet,Cell area,135.96303175793
PC1_cellid_000153460-1,Duct2 singlet,Cell area,307.679420307035
PC1_cellid_000153492-1,Duct2 singlet,Cell area,44.0641287946583
PC1_cellid_000153494-1,Fibroblast singlet,Cell area,92.0082404458124
PC1_cellid_000153516-1,Fibroblast singlet,Cell area,51.8540499823234
PC1_cellid_000153597-1,Fibroblast singlet,Cell area,64.0998480270102
PC1_cellid_000153604-1,Duct2 singlet,Cell area,27.908392418802
PC1_cellid_000153618-1,Duct2 singlet,Cell area,191.999614890921
PC1_cellid_000153624-1,Supported Duct2-Fibroblast,Cell area,60.082069987036
PC1_cellid_000153648-1,Fibroblast singlet,Cell area,80.0088261802752
PC1_cellid_000153655-1,Fibroblast singlet,Cell area,47.9175261673852
PC1_cellid_000153680-1,Fibroblast singlet,Cell area,68.0633317691581
PC1_cellid_000153748-1,Fibroblast singlet,Cell area,119.78070989831
PC1_cellid_000153752-1,Duct2 singlet,Cell area,115.981606823412
PC1_cellid_000153757-1,Duct2 singlet,Cell area,127.954435605175
PC1_cellid_000153768-1,Duct2 singlet,Cell area,279.881488701089
PC1_cellid_000153776-1,Supported Duct2-Fibroblast,Cell area,187.926419222797
PC1_cellid_000153787-1,Duct2 singlet,Cell area,136.072743683894
PC1_cellid_000153824-1,Fibroblast singlet,Cell area,67.9000744322103
PC1_cellid_000153831-1,Supported Duct2-Fibroblast,Cell area,123.990577419604
PC1_cellid_000153841-1,Supported Duct2-Fibroblast,Cell area,40.0182674971756
PC1_cellid_000153850-1,Duct2 singlet,Cell area,120.16413997408
PC1_cellid_000153860-1,Duct2 singlet,Cell area,55.9542055776454
PC1_cellid_000153861-1,Fibroblast singlet,Cell area,47.9725693520933
PC1_cellid_000153867-1,Duct2 singlet,Cell area,200.007836600235
PC1_cellid_000153868-1,Fibroblast singlet,Cell area,43.8997481274115
PC1_cellid_000153879-1,Duct2 singlet,Cell area,135.854068718826
PC1_cellid_000153905-1,Fibroblast singlet,Cell area,60.027401245767
PC1_cellid_000153909-1,Fibroblast singlet,Cell area,148.099866763503
PC1_cellid_000153925-1,Duct2 singlet,Cell area,219.908756196579
PC1_cellid_000153969-1,Duct2 singlet,Cell area,175.844252958493
PC1_cellid_000153988-1,Duct2 singlet,Cell area,112.155543821319
PC1_cellid_000154013-1,Supported Duct2-Fibroblast,Cell area,107.999596154417
PC1_cellid_000154018-1,Duct2 singlet,Cell area,216.026526679479
PC1_cellid_000154063-1,Fibroblast singlet,Cell area,87.9631280352026
PC1_cellid_000154073-1,Fibroblast singlet,Cell area,80.0638693649871
PC1_cellid_000154090-1,Fibroblast singlet,Cell area,52.0446416899113
PC1_cellid_000154093-1,Fibroblast singlet,Cell area,36.1637467941381
PC1_cellid_000154100-1,Duct2 singlet,Cell area,184.044938592556
PC1_cellid_000154117-1,Duct2 singlet,Cell area,124.045246160871
PC1_cellid_000154121-1,Fibroblast singlet,Cell area,76.0176336240723
PC1_cellid_000154124-1,Supported Duct2-Fibroblast,Cell area,111.907662268422
PC1_cellid_000154140-1,Duct2 singlet,Cell area,108.054264895694
PC1_cellid_000154199-1,Fibroblast singlet,Cell area,59.9996924316931
PC1_cellid_000154242-1,Supported Duct2-Fibroblast,Cell area,140.008518611976
PC1_cellid_000154316-1,Supported Duct2-Fibroblast,Cell area,156.081502989059
PC1_cellid_000154329-1,Supported Duct2-Fibroblast,Cell area,272.117404110304
PC1_cellid_000154334-1,Supported Duct2-Fibroblast,Cell area,95.8900955194822
PC1_cellid_000154344-1,Fibroblast singlet,Cell area,104.09115559698
PC1_cellid_000154377-1,Fibroblast singlet,Cell area,123.853905566418
PC1_cellid_000154379-1,Duct2 singlet,Cell area,36.1090780528722
PC1_cellid_000154396-1,Fibroblast singlet,Cell area,87.9088337373646
PC1_cellid_000154435-1,Fibroblast singlet,Cell area,123.96324304896
PC1_cellid_000154443-1,Supported Duct2-Fibroblast,Cell area,127.844723679191
PC1_cellid_000154444-1,Supported Duct2-Fibroblast,Cell area,168.108626068661
PC1_cellid_000154461-1,Fibroblast singlet,Cell area,80.0634949215534
PC1_cellid_000154519-1,Duct2 singlet,Cell area,96.0275162595233
PC1_cellid_000154523-1,Duct2 singlet,Cell area,59.9996924316945
PC1_cellid_000154537-1,Fibroblast singlet,Cell area,88.0455055905445
PC1_cellid_000154555-1,Duct2 singlet,Cell area,196.209856855642
PC1_cellid_000154578-1,Duct2 singlet,Cell area,216.163572976088
PC1_cellid_000154582-1,Supported Duct2-Fibroblast,Cell area,139.899555572872
PC1_cellid_000154595-1,Fibroblast singlet,Cell area,144.027419982253
PC1_cellid_000154601-1,Supported Duct2-Fibroblast,Cell area,171.990106698893
PC1_cellid_000154646-1,Fibroblast singlet,Cell area,107.835589930609
PC1_cellid_000154648-1,Duct2 singlet,Cell area,71.9998555840934
PC1_cellid_000154677-1,Supported Duct2-Fibroblast,Cell area,119.999384863386
PC1_cellid_000154682-1,Fibroblast singlet,Cell area,88.0177967764688
PC1_cellid_000154694-1,Fibroblast singlet,Cell area,83.9453499952216
PC1_cellid_000154705-1,Duct2 singlet,Cell area,143.835704944384
PC1_cellid_000154716-1,Fibroblast singlet,Cell area,68.0359973985211
PC1_cellid_000154734-1,Fibroblast singlet,Cell area,43.9544168686799
PC1_cellid_000154800-1,Duct2 singlet,Cell area,211.762364860344
PC1_cellid_000154819-1,Supported Duct2-Fibroblast,Cell area,103.899440559099
PC1_cellid_000154821-1,Fibroblast singlet,Cell area,127.871683606402
PC1_cellid_000154850-1,Duct2 singlet,Cell area,211.926371084159
PC1_cellid_000154855-1,Duct2 singlet,Cell area,119.890047380847
PC1_cellid_000154857-1,Fibroblast singlet,Cell area,63.9635506172682
PC1_cellid_000154862-1,Duct2 singlet,Cell area,108.109682523837
PC1_cellid_000154866-1,Supported Duct2-Fibroblast,Cell area,111.881076784648
PC1_cellid_000154871-1,Duct2 singlet,Cell area,47.9179006108228
PC1_cellid_000154878-1,Fibroblast singlet,Cell area,91.8992774067017
PC1_cellid_000154888-1,Fibroblast singlet,Cell area,48.0276125367984
PC1_cellid_000154913-1,Fibroblast singlet,Cell area,80.1181636628218
PC1_cellid_000154926-1,Fibroblast singlet,Cell area,59.9723580610591
PC1_cellid_000154927-1,Fibroblast singlet,Cell area,99.9906255582388
PC1_cellid_000154948-1,Fibroblast singlet,Cell area,83.9992698496252
PC1_cellid_000154986-1,Duct2 singlet,Cell area,80.0638693649895
PC1_cellid_000155100-1,Fibroblast singlet,Cell area,64.0732625432482
PC1_cellid_000155109-1,Supported Duct2-Fibroblast,Cell area,112.045457451904
PC1_cellid_000155152-1,Duct2 singlet,Cell area,87.9908368492614
PC1_cellid_000155164-1,Duct2 singlet,Cell area,119.890047380844
PC1_cellid_000155182-1,Duct2 singlet,Cell area,80.0088261802795
PC1_cellid_000155184-1,Duct2 singlet,Cell area,135.99036612857
PC1_cellid_000155196-1,Duct2 singlet,Cell area,152.009430651237
PC1_cellid_000155201-1,Fibroblast singlet,Cell area,48.0541980205682
PC1_cellid_000155234-1,Supported Duct2-Fibroblast,Cell area,91.9539461479756
PC1_cellid_000155243-1,Fibroblast singlet,Cell area,107.972261783791
PC1_cellid_000155259-1,Supported Duct2-Fibroblast,Cell area,176.035967996363
PC1_cellid_000155345-1,Supported Duct2-Fibroblast,Cell area,115.92656363869
PC1_cellid_000155372-1,Fibroblast singlet,Cell area,91.953571704544
PC1_cellid_000155381-1,Duct2 singlet,Cell area,284.090981778936
PC1_cellid_000155417-1,Duct2 singlet,Cell area,143.917333612843
PC1_cellid_000155440-1,Duct2 singlet,Cell area,100.045294299503
PC1_cellid_000155442-1,Fibroblast singlet,Cell area,44.0090856099524
PC1_cellid_000155443-1,Fibroblast singlet,Cell area,95.9728475182489
PC1_cellid_000155444-1,Duct2 singlet,Cell area,23.99957741793
PC1_cellid_000155450-1,Duct2 singlet,Cell area,79.9811173662138
PC1_cellid_000155478-1,Fibroblast singlet,Cell area,44.0090856099529
PC1_cellid_000155508-1,Duct2 singlet,Cell area,199.981251116474
PC1_cellid_000155510-1,Duct2 singlet,Cell area,71.9728956568951
PC1_cellid_000155519-1,Fibroblast singlet,Cell area,80.0092006237187
PC1_cellid_000155525-1,Fibroblast singlet,Cell area,140.035852982611
PC1_cellid_000155530-1,Duct2 singlet,Cell area,123.716484826378
PC1_cellid_000155554-1,Supported Duct2-Fibroblast,Cell area,124.127249272772
PC1_cellid_000155555-1,Supported Duct2-Fibroblast,Cell area,75.9914225837305
PC1_cellid_000155569-1,Duct2 singlet,Cell area,92.0089893326848
PC1_cellid_000155573-1,Duct2 singlet,Cell area,196.045101744964
PC1_cellid_000155578-1,Fibroblast singlet,Cell area,115.954272452764
PC1_cellid_000155585-1,Duct2 singlet,Cell area,147.826897500576
PC1_cellid_000155588-1,Duct2 singlet,Cell area,91.9809060751717
PC1_cellid_000155607-1,Duct2 singlet,Cell area,108.054639339125
PC1_cellid_000155608-1,Supported Duct2-Fibroblast,Cell area,55.8995368363767
PC1_cellid_000155632-1,Duct2 singlet,Cell area,60.0820699870345
PC1_cellid_000155664-1,Duct2 singlet,Cell area,171.990855585761
PC1_cellid_000155667-1,Fibroblast singlet,Cell area,47.9452349814561
PC1_cellid_000155668-1,Fibroblast singlet,Cell area,135.991489458869
PC1_cellid_000155670-1,Fibroblast singlet,Cell area,75.9363793990338
PC1_cellid_000155681-1,Fibroblast singlet,Cell area,116.008566750607
PC1_cellid_000155724-1,Supported Duct2-Fibroblast,Cell area,119.808418712371
PC1_cellid_000155786-1,Duct2 singlet,Cell area,124.072580531499
PC1_cellid_000155792-1,Fibroblast singlet,Cell area,55.9815399482833
PC1_cellid_000155809-1,Fibroblast singlet,Cell area,155.944831135884
PC1_cellid_000155824-1,Duct2 singlet,Cell area,232.017882388083
PC1_cellid_000155860-1,Fibroblast singlet,Cell area,64.0455537291818
PC1_cellid_000155871-1,Fibroblast singlet,Cell area,59.9727325044898
PC1_cellid_000155895-1,Duct2 singlet,Cell area,104.118489967621
PC1_cellid_000155901-1,Duct2 singlet,Cell area,92.0636580739492
PC1_cellid_000155908-1,Fibroblast singlet,Cell area,64.0182193585377
PC1_cellid_000155913-1,Fibroblast singlet,Cell area,131.99954801579
PC1_cellid_000155943-1,Duct2 singlet,Cell area,36.0270749409657
PC1_cellid_000155979-1,Fibroblast singlet,Cell area,111.935745525926
PC1_cellid_000155981-1,Duct2 singlet,Cell area,32.0362568281911
PC1_cellid_000155987-1,Fibroblast singlet,Cell area,91.9550694782749
PC1_cellid_000156001-1,Duct2 singlet,Cell area,76.0457168815803
PC1_cellid_000156015-1,Duct2 singlet,Cell area,168.081291698028
PC1_cellid_000156029-1,Fibroblast singlet,Cell area,132.081925571121
PC1_cellid_000156102-1,Duct2 singlet,Cell area,59.9173148763578
PC1_cellid_000156162-1,Duct2 singlet,Cell area,139.871472315371
PC1_cellid_000156167-1,Fibroblast singlet,Cell area,88.0997998883809
PC1_cellid_000156188-1,Fibroblast singlet,Cell area,56.008874318919
PC1_cellid_000156201-1,Duct2 singlet,Cell area,75.9906736968707
PC1_cellid_000156239-1,Fibroblast singlet,Cell area,55.9815399482804
PC1_cellid_000156255-1,Fibroblast singlet,Cell area,143.97200235412
PC1_cellid_000156288-1,Supported Duct2-Fibroblast,Cell area,127.981021088949
PC1_cellid_000156319-1,Fibroblast singlet,Cell area,39.8538868299306
PC1_cellid_000156375-1,Supported Duct2-Fibroblast,Cell area,132.246306238372
PC1_cellid_000156391-1,Duct2 singlet,Cell area,120.02709367746
PC1_cellid_000156392-1,Fibroblast singlet,Cell area,199.926582375205
PC1_cellid_000156396-1,Fibroblast singlet,Cell area,60.0820699870359
PC1_cellid_000156398-1,Duct2 singlet,Cell area,132.108885498327
PC1_cellid_000156428-1,Duct2 singlet,Cell area,132.16430312646
PC1_cellid_000156431-1,Fibroblast singlet,Cell area,115.980857936549
PC1_cellid_000156479-1,Duct2 singlet,Cell area,115.98235571028
PC1_cellid_000156481-1,Fibroblast singlet,Cell area,51.9356786507985
PC1_cellid_000156526-1,Fibroblast singlet,Cell area,107.889884228449
PC1_cellid_000156639-1,Duct2 singlet,Cell area,35.9181119018557
PC1_cellid_000156641-1,Fibroblast singlet,Cell area,60.0824444304664
PC1_cellid_000156649-1,Fibroblast singlet,Cell area,35.944697385625
PC1_cellid_000156652-1,Duct2 singlet,Cell area,67.9266599159726
PC1_cellid_000156709-1,Duct2 singlet,Cell area,79.9549063258875
PC1_cellid_000156712-1,Fibroblast singlet,Cell area,275.890296144868
PC1_cellid_000156741-1,Fibroblast singlet,Cell area,204.246161822471
PC1_cellid_000156783-1,Fibroblast singlet,Cell area,79.9271975118068
PC1_cellid_000156806-1,Fibroblast singlet,Cell area,155.999499877147
PC1_cellid_000156812-1,Duct2 singlet,Cell area,168.137083769597
PC1_cellid_000156813-1,Duct2 singlet,Cell area,71.944812399391
PC1_cellid_000156818-1,Duct2 singlet,Cell area,36.0547837550357
PC1_cellid_000156836-1,Fibroblast singlet,Cell area,64.0455537291764
PC1_cellid_000156859-1,Duct2 singlet,Cell area,152.008307320947
PC1_cellid_000156873-1,Fibroblast singlet,Cell area,107.97263622722
PC1_cellid_000156887-1,Fibroblast singlet,Cell area,120.218808715338
PC1_cellid_000156897-1,Fibroblast singlet,Cell area,44.0910887218594
PC1_cellid_000156913-1,Duct2 singlet,Cell area,111.96307989657
PC1_cellid_000156919-1,Fibroblast singlet,Cell area,47.9995292792959
PC1_cellid_000156931-1,Duct2 singlet,Cell area,195.991181890554
PC1_cellid_000156940-1,Fibroblast singlet,Cell area,111.854116857456
PC1_cellid_000156941-1,Fibroblast singlet,Cell area,32.0089224575564
PC1_cellid_000156946-1,Fibroblast singlet,Cell area,84.081647404967
PC1_cellid_000156947-1,Fibroblast singlet,Cell area,96.027141816093
PC1_cellid_000156979-1,Fibroblast singlet,Cell area,60.0274012457615
PC1_cellid_000156993-1,Supported Duct2-Fibroblast,Cell area,103.927523816601
PC1_cellid_000156999-1,Fibroblast singlet,Cell area,51.990721835507
PC1_cellid_000157009-1,Fibroblast singlet,Cell area,63.9628017304024
PC1_cellid_000157018-1,Fibroblast singlet,Cell area,68.0363718419558
PC1_cellid_000157042-1,Duct2 singlet,Cell area,211.844367972262
PC1_cellid_000157054-1,Fibroblast singlet,Cell area,60.0820699870387
PC1_cellid_000157059-1,Duct2 singlet,Cell area,139.899555572868
PC1_cellid_000157091-1,Fibroblast singlet,Cell area,67.8173224334331
PC1_cellid_000157104-1,Fibroblast singlet,Cell area,131.807832977898
PC1_cellid_000157108-1,Supported Duct2-Fibroblast,Cell area,79.8991142543079
PC1_cellid_000157115-1,Fibroblast singlet,Cell area,40.1002706090815
PC1_cellid_000157125-1,Fibroblast singlet,Cell area,168.08129169803
PC1_cellid_000157126-1,Supported Duct2-Fibroblast,Cell area,55.9819143917125
PC1_cellid_000157133-1,Supported Duct2-Fibroblast,Cell area,124.018286233672
PC1_cellid_000157141-1,Duct2 singlet,Cell area,67.953619843178
PC1_cellid_000157144-1,Supported Duct2-Fibroblast,Cell area,239.999518613636
PC1_cellid_000157146-1,Fibroblast singlet,Cell area,47.999903722728
PC1_cellid_000157163-1,Supported Duct2-Fibroblast,Cell area,99.9082480028921
PC1_cellid_000157193-1,Supported Duct2-Fibroblast,Cell area,163.981136102715
PC1_cellid_000157221-1,Duct2 singlet,Cell area,95.9170554466833
PC1_cellid_000157227-1,Fibroblast singlet,Cell area,176.064051253874
PC1_cellid_000157228-1,Fibroblast singlet,Cell area,43.8724137567728
PC1_cellid_000157238-1,Fibroblast singlet,Cell area,55.8722024657414
PC1_cellid_000157287-1,Fibroblast singlet,Cell area,55.9545800210789
PC1_cellid_000157307-1,Fibroblast singlet,Cell area,64.0182193585407
PC1_cellid_000157319-1,Duct2 singlet,Cell area,35.9720317562655
PC1_cellid_000157331-1,Fibroblast singlet,Cell area,132.054216757055
PC1_cellid_000157335-1,Duct2 singlet,Cell area,68.0637062125882
PC1_cellid_000157343-1,Fibroblast singlet,Cell area,87.9088337373601
PC1_cellid_000157358-1,Supported Duct2-Fibroblast,Cell area,123.990577419596
PC1_cellid_000157371-1,Fibroblast singlet,Cell area,99.9089968897638
PC1_cellid_000157408-1,Fibroblast singlet,Cell area,88.0462544774004
PC1_cellid_000157441-1,Duct2 singlet,Cell area,111.990414267196
PC1_cellid_000157460-1,Fibroblast singlet,Cell area,52.0457650202055
PC1_cellid_000157473-1,Duct2 singlet,Cell area,175.95396488447
PC1_cellid_000157497-1,Supported Duct2-Fibroblast,Cell area,108.081599266329
PC1_cellid_000157507-1,Duct2 singlet,Cell area,180.13574914826
PC1_cellid_000157547-1,Fibroblast singlet,Cell area,88.1275087024533
PC1_cellid_000157620-1,Fibroblast singlet,Cell area,23.9729919341594
PC1_cellid_000157641-1,Duct2 singlet,Cell area,39.9635987559005
PC1_cellid_000157651-1,Fibroblast singlet,Cell area,76.1003856228471
PC1_cellid_000157654-1,Supported Duct2-Fibroblast,Cell area,67.9817031006819
PC1_cellid_000157658-1,Fibroblast singlet,Cell area,55.9815399482799
PC1_cellid_000157662-1,Fibroblast singlet,Cell area,123.853156679551
PC1_cellid_000157679-1,Supported Duct2-Fibroblast,Cell area,72.0271899547298
PC1_cellid_000157700-1,Duct2 singlet,Cell area,123.962868605534
PC1_cellid_000157715-1,Fibroblast singlet,Cell area,67.8723656181413
PC1_cellid_000157719-1,Supported Duct2-Fibroblast,Cell area,95.8900955194855
PC1_cellid_000157739-1,Fibroblast singlet,Cell area,79.9271975118203
PC1_cellid_000157775-1,Fibroblast singlet,Cell area,83.9449755517889
PC1_cellid_000157814-1,Fibroblast singlet,Cell area,95.9724730748236
PC1_cellid_000157821-1,Duct2 singlet,Cell area,76.0180080675164
PC1_cellid_000157826-1,Fibroblast singlet,Cell area,59.862646135085
PC1_cellid_000157842-1,Duct2 singlet,Cell area,151.98172183717
PC1_cellid_000157898-1,Fibroblast singlet,Cell area,63.9905105444665
PC1_cellid_000157908-1,Fibroblast singlet,Cell area,67.9543687300488
PC1_cellid_000157918-1,Fibroblast singlet,Cell area,44.0090856099513
PC1_cellid_000157932-1,Fibroblast singlet,Cell area,163.981136102688
PC1_cellid_000157934-1,Supported Duct2-Fibroblast,Cell area,159.935649248657
PC1_cellid_000157964-1,Supported Duct2-Fibroblast,Cell area,55.9268712070066
PC1_cellid_000158008-1,Duct2 singlet,Cell area,112.045083008467
PC1_cellid_000158028-1,Fibroblast singlet,Cell area,48.1912443171779
PC1_cellid_000158053-1,Fibroblast singlet,Cell area,96.0541017433006
PC1_cellid_000158065-1,Fibroblast singlet,Cell area,56.0096232057837
PC1_cellid_000158071-1,Fibroblast singlet,Cell area,123.881239937054
PC1_cellid_000158099-1,Duct2 singlet,Cell area,315.825811643269
PC1_cellid_000158105-1,Fibroblast singlet,Cell area,55.8722024657388
PC1_cellid_000158109-1,Duct2 singlet,Cell area,59.8637694653854
PC1_cellid_000158130-1,Fibroblast singlet,Cell area,88.0732144046098
PC1_cellid_000158153-1,Duct2 singlet,Cell area,187.871001594658
PC1_cellid_000158169-1,Supported Duct2-Fibroblast,Cell area,127.926726791098
PC1_cellid_000158181-1,Fibroblast singlet,Cell area,48.0549469074269
PC1_cellid_000158191-1,Duct2 singlet,Cell area,119.999759306822
PC1_cellid_000158219-1,Fibroblast singlet,Cell area,59.8087262806774
PC1_cellid_000158243-1,Duct2 singlet,Cell area,39.9628498690371
PC1_cellid_000158257-1,Supported Duct2-Fibroblast,Cell area,175.926630513836
PC1_cellid_000158282-1,Duct2 singlet,Cell area,192.219038742874
PC1_cellid_000158315-1,Duct2 singlet,Cell area,128.036438717087
PC1_cellid_000158320-1,Duct2 singlet,Cell area,227.943937833099
PC1_cellid_000158356-1,Supported Duct2-Fibroblast,Cell area,163.953801732066
PC1_cellid_000158358-1,Fibroblast singlet,Cell area,79.9534085521461
PC1_cellid_000158360-1,Duct2 singlet,Cell area,179.970994037579
PC1_cellid_000158376-1,Duct2 singlet,Cell area,83.9723099224258
PC1_cellid_000158387-1,Duct2 singlet,Cell area,72.1091930666314
PC1_cellid_000158389-1,Fibroblast singlet,Cell area,95.9994330020197
PC1_cellid_000158407-1,Fibroblast singlet,Cell area,151.980972950298
PC1_cellid_000158429-1,Duct2 singlet,Cell area,68.0090374713178
PC1_cellid_000158433-1,Fibroblast singlet,Cell area,40.045601867812
PC1_cellid_000158457-1,Fibroblast singlet,Cell area,28.0727730860491
PC1_cellid_000158459-1,Duct2 singlet,Cell area,84.0269786636932
PC1_cellid_000158465-1,Fibroblast singlet,Cell area,140.009267498853
PC1_cellid_000158474-1,Supported Duct2-Fibroblast,Cell area,48.0272380933683
PC1_cellid_000158481-1,Duct2 singlet,Cell area,72.1091930666361
PC1_cellid_000158517-1,Fibroblast singlet,Cell area,79.8991142543068
PC1_cellid_000158523-1,Duct2 singlet,Cell area,123.853156679559
PC1_cellid_000158545-1,Fibroblast singlet,Cell area,60.0547356163973
PC1_cellid_000158553-1,Supported Duct2-Fibroblast,Cell area,143.944667983485
PC1_cellid_000158575-1,Supported Duct2-Fibroblast,Cell area,132.027631273289
PC1_cellid_000158579-1,Fibroblast singlet,Cell area,140.035478539188
PC1_cellid_000158588-1,Fibroblast singlet,Cell area,111.881076784658
PC1_cellid_000158618-1,Duct2 singlet,Cell area,92.0909924445874
PC1_cellid_000158636-1,Duct2 singlet,Cell area,160.045361174633
PC1_cellid_000158647-1,Fibroblast singlet,Cell area,47.9999037227283
PC1_cellid_000158676-1,Fibroblast singlet,Cell area,24.0546206026327
PC1_cellid_000158681-1,Fibroblast singlet,Cell area,40.0182674971762
PC1_cellid_000158693-1,Duct2 singlet,Cell area,96.0544761867289
PC1_cellid_000158708-1,Duct2 singlet,Cell area,132.054591200494
PC1_cellid_000158709-1,Fibroblast singlet,Cell area,107.944927413159
PC1_cellid_000158725-1,Duct2 singlet,Cell area,191.972280520272
PC1_cellid_000158742-1,Supported Duct2-Fibroblast,Cell area,95.8900955194817
PC1_cellid_000158797-1,Duct2 singlet,Cell area,75.9906736968714
PC1_cellid_000158813-1,Fibroblast singlet,Cell area,40.072561795012
PC1_cellid_000158824-1,Fibroblast singlet,Cell area,95.9724730748279
PC1_cellid_000158826-1,Fibroblast singlet,Cell area,84.1643994037394
