CellID,sample,query_label,nearest_reference,distance,references_in_radius,strength,area_um2_cell,Fibroblast_program
PC1_cellid_000154926-1,PC1_A2,Fibroblast,PC1_cellid_000160129-1,20.6192776570204,92,1.10958733943414e-09,59.9723580610591,0.358787576692329
PC1_cellid_000154927-1,PC1_A2,Fibroblast,PC1_cellid_000154582-1,43.9657536082531,120,8.44639351693034e-20,99.9906255582388,1.45161985097737
PC1_cellid_000154948-1,PC1_A2,Fibroblast,PC1_cellid_000162138-1,26.398436712426,28,3.47075468118398e-12,83.9992698496252,-0.467987838489211
PC1_cellid_000154951-1,PC1_A2,Fibroblast,PC1_cellid_000154013-1,41.1150823920161,200,2.17340684040504e-18,128.035689830206,0.601187972549072
PC1_cellid_000155100-1,PC1_A2,Fibroblast,PC1_cellid_000152982-1,8.54630429655354,29,0.000194897660636912,64.0732625432482,0.314929951029492
PC1_cellid_000155119-1,PC1_A2,Fibroblast,PC1_cellid_000157358-1,53.8900228314244,179,4.00498328980096e-24,183.990644294728,0.473405282781151
PC1_cellid_000155201-1,PC1_A2,Fibroblast,PC1_cellid_000154013-1,29.0832960767501,200,2.40077162582271e-13,48.0541980205682,0.28646062338355
PC1_cellid_000155243-1,PC1_A2,Fibroblast,PC1_cellid_000157108-1,62.0095524501414,150,1.89355445021727e-27,107.972261783791,0.584379479725204
PC1_cellid_000155372-1,PC1_A2,Fibroblast,PC1_cellid_000157144-1,25.6110800461261,53,7.53788071177377e-12,91.953571704544,0.33445753294129
PC1_cellid_000155411-1,PC1_A2,Fibroblast,PC1_cellid_000152982-1,34.7723580146221,25,8.00339044047688e-16,100.073003113573,-0.116373467757801
PC1_cellid_000155442-1,PC1_A2,Fibroblast,PC1_cellid_000162081-1,8.54981565681181,200,0.000200973884545663,44.0090856099524,-0.431071299479341
PC1_cellid_000155443-1,PC1_A2,Fibroblast,PC1_cellid_000155555-1,30.2359297846803,105,1.18898305914615e-13,95.9728475182489,1.46362115274083
PC1_cellid_000155478-1,PC1_A2,Fibroblast,PC1_cellid_000157358-1,36.0395219537598,200,2.24272872250748e-16,44.0090856099529,-0.0792324132388099
PC1_cellid_000155495-1,PC1_A2,Fibroblast,PC1_cellid_000152982-1,21.1914332777661,59,6.26933481958938e-10,92.0370725901843,0.69205002552362
PC1_cellid_000155519-1,PC1_A2,Fibroblast,PC1_cellid_000153776-1,46.0674260359755,121,1.08482155060535e-20,80.0092006237187,0.40224674707569
PC1_cellid_000155525-1,PC1_A2,Fibroblast,PC1_cellid_000161900-1,42.6480410068104,142,3.00783482221318e-19,140.035852982611,1.09544049622962
PC1_cellid_000155554-1,PC1_A2,Fibroblast,PC1_cellid_000159092-1,9.00253587675918,115,0.000144397638914679,124.127249272772,0.218561861781467
PC1_cellid_000155578-1,PC1_A2,Fibroblast,PC1_cellid_000161224-1,41.448348087215,124,1.01367652378708e-18,115.954272452764,1.42362354162655
PC1_cellid_000155583-1,PC1_A2,Fibroblast,PC1_cellid_000158474-1,34.8289984191705,200,1.10444353579891e-15,159.989943546497,0.872217911676087
PC1_cellid_000155667-1,PC1_A2,Fibroblast,PC1_cellid_000155555-1,38.0050336032702,96,3.86239848585317e-17,47.9452349814561,0.847033826996875
PC1_cellid_000155668-1,PC1_A2,Fibroblast,PC1_cellid_000154013-1,9.85589053479366,200,5.24825263040054e-05,135.991489458869,0.740640439798824
PC1_cellid_000155670-1,PC1_A2,Fibroblast,PC1_cellid_000159706-1,27.6575869000786,181,1.01302840910472e-12,75.9363793990338,1.34755084751957
PC1_cellid_000155681-1,PC1_A2,Fibroblast,PC1_cellid_000153776-1,23.2266852307468,161,8.27122211691419e-11,116.008566750607,0.80248222814875
PC1_cellid_000155792-1,PC1_A2,Fibroblast,PC1_cellid_000152982-1,57.268132847505,78,1.35023473916876e-25,55.9815399482833,0.711649758315365
PC1_cellid_000155809-1,PC1_A2,Fibroblast,PC1_cellid_000157144-1,57.8694697782135,46,7.37239514849315e-26,155.944831135884,0.515354558198378
PC1_cellid_000155860-1,PC1_A2,Fibroblast,PC1_cellid_000161224-1,5.82550321651099,92,0.00296914611594834,64.0455537291818,0.759706069100792
PC1_cellid_000155871-1,PC1_A2,Fibroblast,PC1_cellid_000160643-1,14.1337288855179,175,8.15692590315089e-07,59.9727325044898,0.314453876271126
PC1_cellid_000155908-1,PC1_A2,Fibroblast,PC1_cellid_000152982-1,17.4556986758479,53,2.67464596664106e-08,64.0182193585377,1.26917881549328
PC1_cellid_000155913-1,PC1_A2,Fibroblast,PC1_cellid_000152982-1,72.413752990046,91,4.26673451728326e-32,131.99954801579,0.767449502865326
PC1_cellid_000155979-1,PC1_A2,Fibroblast,PC1_cellid_000160927-1,13.1475716490435,175,3.53583202977181e-06,111.935745525926,0.208837827983669
PC1_cellid_000155987-1,PC1_A2,Fibroblast,PC1_cellid_000157144-1,28.8587169992115,43,2.92966830375525e-13,91.9550694782749,-0.0787178065948532
PC1_cellid_000156029-1,PC1_A2,Fibroblast,PC1_cellid_000157679-1,21.1068678445391,200,7.340904917044e-10,132.081925571121,1.11851244585835
PC1_cellid_000156167-1,PC1_A2,Fibroblast,PC1_cellid_000157358-1,68.0628868499477,138,3.07934166518947e-30,88.0997998883809,0.423546923338444
PC1_cellid_000156188-1,PC1_A2,Fibroblast,PC1_cellid_000160129-1,26.2515426057066,100,3.97282929732604e-12,56.008874318919,0.761619463940012
PC1_cellid_000156239-1,PC1_A2,Fibroblast,PC1_cellid_000162138-1,39.4639817060741,87,7.26677290218183e-18,55.9815399482804,0.754027065838432
PC1_cellid_000156255-1,PC1_A2,Fibroblast,PC1_cellid_000162081-1,21.5472180243951,200,4.75951981955523e-10,143.97200235412,0.883619171417382
PC1_cellid_000156288-1,PC1_A2,Fibroblast,PC1_cellid_000161900-1,9.22261543036158,151,9.87813564439076e-05,127.981021088949,0.804458587491413
PC1_cellid_000156319-1,PC1_A2,Fibroblast,PC1_cellid_000157358-1,59.6589288481688,158,1.31167930301389e-26,39.8538868299306,0.446954593981647
PC1_cellid_000156392-1,PC1_A2,Fibroblast,PC1_cellid_000161224-1,41.6005919544791,108,8.61801222822871e-19,199.926582375205,1.24706324107083
PC1_cellid_000156396-1,PC1_A2,Fibroblast,PC1_cellid_000161900-1,33.7344168159471,124,2.64144241102628e-15,60.0820699870359,0.920282358008427
PC1_cellid_000156431-1,PC1_A2,Fibroblast,PC1_cellid_000161224-1,37.1614695877792,134,9.14188654900748e-17,115.980857936549,1.5514282864863
PC1_cellid_000156481-1,PC1_A2,Fibroblast,PC1_cellid_000158257-1,19.0021848763996,137,5.59076466889344e-09,51.9356786507985,0.446879565878376
PC1_cellid_000156526-1,PC1_A2,Fibroblast,PC1_cellid_000157358-1,24.9797879801066,200,1.42320123024086e-11,107.889884228449,1.09615859449048
PC1_cellid_000156641-1,PC1_A2,Fibroblast,PC1_cellid_000154871-1,11.1749785759522,22,1.54176193353671e-05,60.0824444304664,-0.449332413333408
PC1_cellid_000156649-1,PC1_A2,Fibroblast,PC1_cellid_000154013-1,7.01934975869413,200,0.000894900116445635,35.944697385625,-0.181206776446011
PC1_cellid_000156712-1,PC1_A2,Fibroblast,PC1_cellid_000161224-1,55.3216299167711,134,9.56551627958855e-25,275.890296144868,1.44496105569763
PC1_cellid_000156741-1,PC1_A2,Fibroblast,PC1_cellid_000157144-1,13.3408637144179,46,1.60744641715793e-06,204.246161822471,0.775045524192946
PC1_cellid_000156783-1,PC1_A2,Fibroblast,PC1_cellid_000157144-1,36.7884435941715,71,1.05434307339175e-16,79.9271975118068,0.317474647634619
PC1_cellid_000156806-1,PC1_A2,Fibroblast,PC1_cellid_000157144-1,16.2611681123746,45,8.66691267777316e-08,155.999499877147,0.172529539618173
PC1_cellid_000156836-1,PC1_A2,Fibroblast,PC1_cellid_000160129-1,33.5317839426657,114,2.73736478996665e-15,64.0455537291764,0.86946761244939
PC1_cellid_000156873-1,PC1_A2,Fibroblast,PC1_cellid_000153776-1,31.2921089286776,148,3.99133804019111e-14,107.97263622722,1.48415823250008
