CellID,sample,first_type,second_type,doublet_pair,nearest_first_type_distance,nearest_second_type_distance,first_type_supported,second_type_supported,both_types_supported,support_radius,contact_evidence,max_constituent_distance
PC1_cellid_000154334-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,8.04938312188042,13.4081941768531,TRUE,TRUE,TRUE,30,spatially_supported_contact,13.4081941768531
PC1_cellid_000154443-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,12.0301922814286,21.0034096050784,TRUE,TRUE,TRUE,30,spatially_supported_contact,21.0034096050784
PC1_cellid_000154444-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,12.9937708185174,17.8743176484415,TRUE,TRUE,TRUE,30,spatially_supported_contact,17.8743176484415
PC1_cellid_000154582-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,11.6438269709763,24.5256953559243,TRUE,TRUE,TRUE,30,spatially_supported_contact,24.5256953559243
PC1_cellid_000154601-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,11.6389147695086,7.84515036561595,TRUE,TRUE,TRUE,30,spatially_supported_contact,11.6389147695086
PC1_cellid_000154677-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,8.05926647874772,12.0400462957776,TRUE,TRUE,TRUE,30,spatially_supported_contact,12.0400462957776
PC1_cellid_000154819-1,PC1_A2,Fibroblast,Duct2,Duct2__Fibroblast,11.3810437915875,12.8151522809798,TRUE,TRUE,TRUE,30,spatially_supported_contact,12.8151522809798
PC1_cellid_000154866-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,6.71743848198137,18.8703995431316,TRUE,TRUE,TRUE,30,spatially_supported_contact,18.8703995431316
PC1_cellid_000155109-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,10.0022865307302,10.7770807316991,TRUE,TRUE,TRUE,30,spatially_supported_contact,10.7770807316991
PC1_cellid_000155234-1,PC1_A2,Duct2,Fibroblast,Duct2__Fibroblast,6.72377914568083,15.6652323931319,TRUE,TRUE,TRUE,30,spatially_supported_contact,15.6652323931319
